AirportName,DateValue,OnTimePerCent,TotalArrivals
"Denver, CO: Denver International",12/1/13,64.02675005,19028
"Denver, CO: Denver International",1/1/14,66.46599833,17955
"Denver, CO: Denver International",2/1/14,69.08974597,16179
"Denver, CO: Denver International",3/1/14,76.52668983,18996
"Denver, CO: Denver International",4/1/14,81.39776568,17455
"Denver, CO: Denver International",5/1/14,74.90651155,18997
"Denver, CO: Denver International",6/1/14,73.61487721,19708
"Denver, CO: Denver International",7/1/14,74.89053098,20773
"Denver, CO: Denver International",8/1/14,78.43846611,20184
"Denver, CO: Denver International",9/1/14,83.96377003,18907
"Denver, CO: Denver International",10/1/14,83.9832054,19411
"Denver, CO: Denver International",11/1/14,79.56174838,17296
"Denver, CO: Denver International",12/1/14,73.81632429,18206
"Denver, CO: Denver International",1/1/15,75.31520019,17059
"Denver, CO: Denver International",2/1/15,73.19976979,15638
"Denver, CO: Denver International",3/1/15,81.98410055,18617
"Denver, CO: Denver International",4/1/15,81.38724817,17472
"Denver, CO: Denver International",5/1/15,79.56501771,18072
"Denver, CO: Denver International",6/1/15,72.3081246,18684
"Denver, CO: Denver International",7/1/15,76.8798931,19083
"Denver, CO: Denver International",8/1/15,81.55365375,18871
"Denver, CO: Denver International",9/1/15,89.34634623,17393
"Denver, CO: Denver International",10/1/15,87.53097931,18125
"Denver, CO: Denver International",11/1/15,80.5198014,17120
"Denver, CO: Denver International",12/1/15,77.53463696,18001
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1/1/12,86.04783061,21158
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2/1/12,86.25121649,20962
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3/1/12,82.95512653,22998
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4/1/12,81.78194991,22637
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5/1/12,85.04768589,23508
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",6/1/12,83.57104371,23014
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7/1/12,79.05717432,23612
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",8/1/12,80.548159,23900
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",9/1/12,75.55903042,22319
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",10/1/12,81.51684766,23297
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11/1/12,87.29130199,22166
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12/1/12,78.09244689,22878
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1/1/13,78.52787835,23477
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2/1/13,79.18706697,21650
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3/1/13,83.7896691,24509
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4/1/13,73.77585776,24016
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5/1/13,76.27247714,24714
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",6/1/13,71.83481644,24161
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7/1/13,73.67002438,25017
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",8/1/13,81.5333788,24926
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",9/1/13,86.85097583,23211
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",10/1/13,83.37321561,24238
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11/1/13,82.71048004,22748
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12/1/13,67.06219753,23763
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1/1/14,78.42598586,23482
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2/1/14,73.53929093,21239
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3/1/14,78.72478956,23760
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4/1/14,80.77594131,22628
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5/1/14,78.88474892,23618
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",6/1/14,68.58488979,23772
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",7/1/14,74.40529715,24466
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",8/1/14,75.65442459,24070
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",9/1/14,79.62476654,23023
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",10/1/14,72.95413,23523
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",11/1/14,75.16948918,21671
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",12/1/14,68.36681412,23058
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1/1/15,74.64286023,23173
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",2/1/15,70.2768367,20839
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",3/1/15,73.78903826,23208
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",4/1/15,74.9932315,21866
"Dallas/Fort Worth, TX: Dallas/Fort Worth International",5/1/15,72.63005911,22163
